epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4103,0.71432,1.04306,1.30851,0.98785,0.42907,0.83439,0.84658,0.62566,0.34645,0.61957,0.50324,0.25214,0.87526,17.9918,2.76267,1.08547,0.067375,0.000329545,0.000329545
2,77.7262,0.66598,0.78082,0.69439,0.94308,0.82567,0.81407,0.9002,0.65992,0.82507,0.81492,0.89668,0.70415,0.72317,0.96329,0.8059,0.97513,0.0343684,0.00065625,0.00065625
3,114.366,0.68871,0.78614,0.65249,0.95067,0.87645,0.83555,0.90557,0.70368,0.87645,0.83555,0.90269,0.70785,0.69404,0.87489,0.79156,0.9432,0.00135508,0.000976288,0.000976288
4,150.794,0.66321,0.73349,0.62127,0.94339,0.91172,0.88209,0.94158,0.73437,0.92042,0.8817,0.94007,0.74308,0.65006,0.77688,0.73791,0.92506,0.00097,0.00097,0.00097
5,185.436,0.6426,0.72397,0.57118,0.93513,0.86061,0.90591,0.94264,0.72738,0.85666,0.90229,0.93331,0.72327,0.6311,0.86507,0.6475,0.9243,0.00096,0.00096,0.00096
6,220.006,0.61871,0.71112,0.54341,0.92877,0.84393,0.91611,0.94909,0.74023,0.84429,0.90778,0.9397,0.72543,0.62191,0.72939,0.72382,0.91099,0.00095,0.00095,0.00095
7,256.942,0.60477,0.68905,0.53063,0.92595,0.95673,0.90396,0.96037,0.759,0.95904,0.89629,0.95044,0.76609,0.63839,0.76676,0.52815,0.92738,0.000940001,0.000940001,0.000940001
8,292.151,0.59447,0.67056,0.50081,0.91405,0.93159,0.92034,0.96333,0.76703,0.92907,0.91373,0.94861,0.76278,0.61531,0.71224,0.50759,0.9176,0.000930001,0.000930001,0.000930001
9,331.555,0.58994,0.68558,0.50935,0.91282,0.91582,0.89376,0.95605,0.77401,0.90716,0.89142,0.94691,0.7575,0.58332,0.70427,0.47835,0.89715,0.000920001,0.000920001,0.000920001
10,368.911,0.57884,0.67444,0.49267,0.91901,0.94555,0.90875,0.95836,0.77532,0.94702,0.90393,0.958,0.77242,0.57112,0.69068,0.53438,0.87919,0.000910001,0.000910001,0.000910001
11,405.751,0.58079,0.66898,0.47803,0.91413,0.91726,0.90065,0.95693,0.77686,0.91319,0.89703,0.94714,0.74245,0.57973,0.66965,0.63982,0.91123,0.000900001,0.000900001,0.000900001
12,442.937,0.58267,0.64634,0.47133,0.91284,0.93474,0.95395,0.97955,0.78284,0.94261,0.93795,0.96487,0.76858,0.57479,0.66555,0.43212,0.8873,0.000890001,0.000890001,0.000890001
13,479.85,0.5816,0.63533,0.46161,0.909,0.9467,0.92672,0.96761,0.78757,0.9467,0.92672,0.96691,0.78614,0.57616,0.65998,0.45176,0.88676,0.000880001,0.000880001,0.000880001
14,516.645,0.55649,0.62755,0.44589,0.89883,0.94915,0.92683,0.96871,0.78155,0.95313,0.93046,0.96507,0.76576,0.58219,0.66222,0.46836,0.89171,0.000870001,0.000870001,0.000870001
15,553.127,0.54758,0.63419,0.43498,0.89815,0.92587,0.95106,0.96559,0.7892,0.92185,0.94752,0.95514,0.7822,0.56469,0.65894,0.46516,0.88768,0.000860001,0.000860001,0.000860001
16,590.333,0.54447,0.62888,0.43316,0.90033,0.95046,0.93588,0.97169,0.78858,0.95046,0.93588,0.96881,0.76555,0.54464,0.70303,0.42243,0.88493,0.000850002,0.000850002,0.000850002
17,626.419,0.52857,0.60633,0.41757,0.89855,0.9678,0.9202,0.96745,0.80364,0.9678,0.9202,0.96354,0.77778,0.53217,0.63626,0.42432,0.87321,0.000840002,0.000840002,0.000840002
18,662.877,0.54419,0.62936,0.42963,0.89659,0.9332,0.93975,0.96474,0.78319,0.94003,0.94028,0.95896,0.79158,0.5861,0.68078,0.46885,0.88509,0.000830002,0.000830002,0.000830002
19,700.552,0.5327,0.60626,0.42206,0.89186,0.95966,0.94691,0.9725,0.80368,0.95604,0.94329,0.96565,0.78109,0.55575,0.67536,0.42753,0.86612,0.000820002,0.000820002,0.000820002
20,736.34,0.52674,0.63344,0.41416,0.89021,0.94954,0.93917,0.97352,0.8101,0.95049,0.92847,0.96779,0.78308,0.51658,0.68685,0.40014,0.86562,0.000810002,0.000810002,0.000810002
21,772.496,0.53062,0.61238,0.40798,0.89659,0.95313,0.93609,0.96844,0.81769,0.95313,0.93609,0.96844,0.78728,0.53294,0.67239,0.4165,0.86928,0.000800002,0.000800002,0.000800002
22,809.34,0.51931,0.59763,0.39996,0.88863,0.9545,0.9386,0.96257,0.80352,0.9545,0.9386,0.96148,0.78882,0.54955,0.6754,0.42243,0.8727,0.000790002,0.000790002,0.000790002
23,845.581,0.51545,0.59599,0.39742,0.88908,0.96716,0.95918,0.97437,0.81404,0.96123,0.95664,0.96948,0.79108,0.5164,0.62818,0.38029,0.85662,0.000780002,0.000780002,0.000780002
24,882.377,0.51013,0.6044,0.39644,0.88683,0.95488,0.95741,0.97521,0.80032,0.95106,0.95378,0.96785,0.77041,0.51168,0.63081,0.40219,0.86611,0.000770002,0.000770002,0.000770002
25,918.51,0.49708,0.57496,0.38019,0.88144,0.93649,0.95609,0.95584,0.78896,0.93649,0.95609,0.95557,0.79406,0.55491,0.63765,0.40266,0.8711,0.000760002,0.000760002,0.000760002
26,954.354,0.51636,0.60079,0.39144,0.88935,0.95211,0.94525,0.97151,0.79916,0.94415,0.93801,0.95996,0.77393,0.5238,0.63615,0.40934,0.86049,0.000750003,0.000750003,0.000750003
27,990.333,0.50889,0.59488,0.38972,0.88247,0.94125,0.94664,0.97076,0.79707,0.94125,0.94664,0.96726,0.79184,0.51465,0.63669,0.38583,0.86579,0.000740003,0.000740003,0.000740003
28,1028.04,0.49965,0.57512,0.38188,0.88455,0.95269,0.95877,0.97653,0.79987,0.95269,0.95877,0.97534,0.80252,0.54367,0.60054,0.38666,0.87425,0.000730003,0.000730003,0.000730003
29,1064,0.5109,0.59201,0.3887,0.88856,0.95456,0.96454,0.97621,0.80635,0.95456,0.96454,0.97486,0.78899,0.54171,0.61469,0.38301,0.87215,0.000720003,0.000720003,0.000720003
30,1099.41,0.50715,0.58821,0.38486,0.88497,0.95925,0.94939,0.97483,0.81087,0.95925,0.94939,0.97483,0.79934,0.51383,0.62972,0.38895,0.86167,0.000710003,0.000710003,0.000710003
31,1136.45,0.48908,0.58464,0.37273,0.87949,0.94961,0.95477,0.9726,0.8026,0.94961,0.95477,0.96712,0.81388,0.53937,0.62549,0.37446,0.86516,0.000700003,0.000700003,0.000700003
32,1173.5,0.49854,0.57807,0.38098,0.88871,0.97607,0.95115,0.97749,0.81506,0.97607,0.95115,0.97691,0.80648,0.50665,0.60319,0.34739,0.85477,0.000690003,0.000690003,0.000690003
33,1209.63,0.49277,0.57297,0.37891,0.87987,0.95006,0.95666,0.97543,0.82443,0.94756,0.94636,0.96726,0.78941,0.50634,0.6342,0.38422,0.85654,0.000680003,0.000680003,0.000680003
34,1244.73,0.49411,0.56692,0.36425,0.88531,0.94984,0.95839,0.97805,0.81251,0.94984,0.95839,0.97145,0.79768,0.5153,0.63299,0.35404,0.85896,0.000670003,0.000670003,0.000670003
35,1281.46,0.47958,0.55347,0.35885,0.87628,0.95099,0.95839,0.97927,0.81535,0.95099,0.95839,0.97456,0.79981,0.51603,0.62641,0.37767,0.86153,0.000660003,0.000660003,0.000660003
36,1318.63,0.48448,0.55656,0.36201,0.87791,0.96019,0.95741,0.9772,0.81973,0.96019,0.95741,0.97464,0.80019,0.494,0.62376,0.36468,0.85228,0.000650003,0.000650003,0.000650003
37,1355.55,0.48052,0.55533,0.35836,0.87451,0.94757,0.96188,0.97776,0.81859,0.95099,0.95798,0.96824,0.79615,0.53232,0.67362,0.36519,0.86277,0.000640004,0.000640004,0.000640004
38,1392.19,0.47023,0.54049,0.35208,0.87475,0.97657,0.94804,0.98106,0.81722,0.97333,0.94433,0.97793,0.79411,0.51668,0.6499,0.34511,0.86102,0.000630004,0.000630004,0.000630004
39,1431.24,0.47971,0.54839,0.35744,0.87491,0.95186,0.96108,0.97923,0.81919,0.95186,0.96108,0.97584,0.80929,0.51582,0.60306,0.34678,0.85481,0.000620004,0.000620004,0.000620004
40,1467.04,0.48409,0.56092,0.35384,0.87393,0.97618,0.94673,0.9801,0.81495,0.97618,0.94673,0.97676,0.7886,0.53501,0.62226,0.36832,0.86521,0.000610004,0.000610004,0.000610004
41,1502.71,0.48039,0.54823,0.34873,0.8739,0.95629,0.95021,0.97855,0.81029,0.95629,0.95021,0.97601,0.77836,0.51878,0.6263,0.36401,0.86458,0.000600004,0.000600004,0.000600004
42,1538.15,0.47135,0.54539,0.35301,0.8762,0.96779,0.96392,0.9822,0.81104,0.96408,0.96051,0.97383,0.78181,0.51318,0.64101,0.3344,0.85985,0.000590004,0.000590004,0.000590004
43,1576.39,0.47047,0.53753,0.34294,0.87582,0.95294,0.95477,0.97864,0.82729,0.95294,0.95477,0.97661,0.7921,0.47798,0.61707,0.34462,0.85521,0.000580004,0.000580004,0.000580004
44,1613.5,0.47465,0.54088,0.3475,0.87554,0.96534,0.96164,0.97579,0.82386,0.96165,0.95802,0.97514,0.79575,0.50601,0.58742,0.34734,0.85224,0.000570004,0.000570004,0.000570004
45,1650.75,0.46987,0.54062,0.34426,0.87672,0.96674,0.95746,0.97483,0.81865,0.96674,0.95746,0.97402,0.79202,0.50149,0.60396,0.33849,0.85238,0.000560004,0.000560004,0.000560004
46,1686.4,0.46606,0.54119,0.33872,0.87164,0.96812,0.95021,0.97597,0.81663,0.96812,0.95021,0.97436,0.79761,0.50419,0.63007,0.35264,0.86295,0.000550005,0.000550005,0.000550005
47,1723.86,0.46396,0.5194,0.34135,0.87179,0.96864,0.95208,0.98046,0.83112,0.96864,0.95208,0.97786,0.80917,0.52089,0.62466,0.34911,0.85418,0.000540005,0.000540005,0.000540005
48,1760.7,0.46247,0.54202,0.33559,0.87325,0.96591,0.94973,0.98164,0.81641,0.96591,0.94973,0.97903,0.80859,0.53982,0.6309,0.34847,0.87477,0.000530005,0.000530005,0.000530005
49,1797.74,0.45786,0.52946,0.32646,0.86783,0.96021,0.95477,0.97998,0.8193,0.95639,0.95115,0.9749,0.80156,0.49122,0.62721,0.33105,0.84711,0.000520005,0.000520005,0.000520005
50,1835.2,0.45615,0.50581,0.33317,0.87397,0.97319,0.95202,0.9804,0.82342,0.97319,0.95202,0.97288,0.79893,0.49296,0.60156,0.33205,0.8485,0.000510005,0.000510005,0.000510005
51,1871.43,0.45414,0.51966,0.32471,0.8677,0.97018,0.9647,0.97845,0.82742,0.97018,0.9647,0.97527,0.81301,0.49078,0.61298,0.32823,0.85982,0.000500005,0.000500005,0.000500005
52,1907.91,0.45196,0.51907,0.32594,0.86975,0.96249,0.96108,0.97853,0.82841,0.9587,0.95746,0.97542,0.80424,0.50291,0.65448,0.32568,0.85593,0.000490005,0.000490005,0.000490005
53,1944.55,0.45398,0.52747,0.32666,0.8666,0.95541,0.96564,0.97522,0.8214,0.95541,0.96564,0.97509,0.79577,0.48867,0.60514,0.31084,0.84578,0.000480005,0.000480005,0.000480005
