epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.2669,0.87675,1.19045,1.38515,1.07058,0.73817,0.27151,0.45466,0.29473,0.06054,0.2521,0.04255,0.01077,1.17894,61.1095,2.61842,1.41416,0.0686932,0.00164773,0.00164773
2,132.942,0.90521,0.97893,0.89075,1.06458,0.5211,0.5179,0.52193,0.28269,0.39854,0.37287,0.34371,0.13271,1.45369,6.30803,2.03081,1.47476,0.0369934,0.00328125,0.00328125
3,203.775,0.9184,1.01329,0.86692,1.07121,0.47184,0.72207,0.68513,0.42514,0.46555,0.70769,0.66713,0.42106,1.12516,2.03623,3.21694,1.32049,0.00526023,0.00488144,0.00488144
4,279.559,0.8827,0.95375,0.78906,1.04889,0.7509,0.74708,0.81769,0.55422,0.7626,0.75339,0.82011,0.58914,1.04967,1.29725,1.68757,1.19751,0.00485,0.00485,0.00485
5,347.966,0.83092,0.91415,0.73947,1.01839,0.8664,0.82013,0.89201,0.63473,0.87136,0.82361,0.88847,0.6645,0.91873,1.04708,0.96939,1.12,0.0048,0.0048,0.0048
6,418.153,0.79358,0.8898,0.68475,1.00675,0.79301,0.8082,0.8727,0.61637,0.7736,0.80552,0.87275,0.65265,0.86091,1.05447,0.92603,1.09107,0.00475,0.00475,0.00475
7,486.571,0.7651,0.84183,0.65307,0.9918,0.85817,0.8615,0.90909,0.68538,0.86084,0.84885,0.90903,0.71293,0.74713,0.87795,0.7001,0.98493,0.0047,0.0047,0.0047
8,554.724,0.73897,0.80774,0.62128,0.973,0.83141,0.81878,0.90895,0.68432,0.83636,0.82241,0.91265,0.70505,0.77667,1.1217,0.81824,0.99883,0.00465,0.00465,0.00465
9,623.404,0.71821,0.82009,0.6159,0.97305,0.82348,0.81591,0.86652,0.6208,0.82348,0.81591,0.8645,0.62741,0.83413,1.03096,0.97735,1.07476,0.0046,0.0046,0.0046
10,692.969,0.69891,0.79797,0.60494,0.97119,0.88613,0.83637,0.91978,0.68792,0.89078,0.84846,0.91375,0.71196,0.76007,0.94484,0.85204,0.97754,0.00455,0.00455,0.00455
11,763.443,0.71279,0.80182,0.59285,0.96957,0.7966,0.8189,0.88457,0.64446,0.80126,0.82252,0.88911,0.68083,0.79164,0.93011,1.07381,1.04883,0.00450001,0.00450001,0.00450001
12,834.722,0.70521,0.77641,0.59746,0.96304,0.90065,0.92563,0.94652,0.74306,0.8974,0.9207,0.93622,0.73888,0.62497,0.75494,0.57802,0.927,0.00445001,0.00445001,0.00445001
13,902.132,0.70272,0.7657,0.57124,0.95369,0.84276,0.88373,0.93846,0.70953,0.84472,0.88301,0.92856,0.7238,0.66711,0.80502,0.72857,0.92809,0.00440001,0.00440001,0.00440001
14,973.73,0.68708,0.74421,0.55408,0.94929,0.90115,0.88336,0.92779,0.69473,0.90962,0.8906,0.93475,0.71273,0.70005,0.80898,0.74565,0.96657,0.00435001,0.00435001,0.00435001
15,1044.78,0.66464,0.75281,0.5385,0.94382,0.80455,0.9086,0.94257,0.71841,0.81853,0.91223,0.9403,0.73971,0.65174,0.76275,0.66597,0.94227,0.00430001,0.00430001,0.00430001
16,1112.18,0.65453,0.74276,0.53636,0.94601,0.87676,0.84085,0.9138,0.7155,0.87676,0.84085,0.90848,0.70227,0.67255,0.9221,0.65838,0.95505,0.00425001,0.00425001,0.00425001
17,1180.71,0.63118,0.73047,0.51435,0.93769,0.92608,0.92113,0.94946,0.74803,0.94628,0.87318,0.93315,0.73959,0.61526,0.75368,0.54356,0.91963,0.00420001,0.00420001,0.00420001
18,1252.12,0.64523,0.73566,0.52009,0.93829,0.92838,0.85105,0.93931,0.73919,0.915,0.85273,0.93807,0.75202,0.65661,0.73203,0.66167,0.92868,0.00415001,0.00415001,0.00415001
19,1320.01,0.63166,0.70683,0.51452,0.93367,0.90772,0.84118,0.90574,0.67058,0.90674,0.83265,0.89988,0.6817,0.80031,0.90726,0.70487,1.01047,0.00410001,0.00410001,0.00410001
20,1388.33,0.62817,0.73397,0.50816,0.92754,0.89739,0.88972,0.94791,0.7399,0.8933,0.8861,0.94271,0.74751,0.63804,0.78806,0.56338,0.91715,0.00405001,0.00405001,0.00405001
21,1457,0.62972,0.7088,0.50239,0.93517,0.92033,0.90603,0.94742,0.75196,0.92399,0.89201,0.93785,0.73923,0.64959,0.71259,0.58585,0.93816,0.00400001,0.00400001,0.00400001
22,1526.45,0.61718,0.70043,0.49235,0.92779,0.85973,0.88776,0.94453,0.73378,0.85973,0.88776,0.94511,0.73558,0.63216,0.75141,0.81292,0.9249,0.00395001,0.00395001,0.00395001
23,1597.27,0.6178,0.69969,0.494,0.92772,0.89795,0.93014,0.94924,0.75146,0.94667,0.86709,0.94139,0.74459,0.60686,0.74758,0.48254,0.90284,0.00390001,0.00390001,0.00390001
24,1666.3,0.60138,0.69418,0.4812,0.91855,0.9598,0.88338,0.94947,0.75893,0.96406,0.88701,0.95379,0.74704,0.62949,0.73179,0.6332,0.91919,0.00385001,0.00385001,0.00385001
25,1735.35,0.5937,0.64002,0.47123,0.91585,0.90667,0.89878,0.93659,0.73792,0.90667,0.89878,0.93227,0.75172,0.63534,0.73595,0.50252,0.91201,0.00380001,0.00380001,0.00380001
26,1784.53,0.61559,0.68337,0.48363,0.92752,0.89995,0.90106,0.9536,0.75986,0.89166,0.89382,0.93865,0.74095,0.60166,0.70557,0.54084,0.91463,0.00375001,0.00375001,0.00375001
27,1808.75,0.58966,0.69243,0.47268,0.9158,0.94218,0.9079,0.94819,0.74203,0.94323,0.9079,0.94244,0.76056,0.65592,0.75638,0.53616,0.92645,0.00370001,0.00370001,0.00370001
28,1833.44,0.5771,0.65811,0.45659,0.91662,0.93199,0.93221,0.95756,0.7656,0.93199,0.93221,0.95587,0.77647,0.58383,0.68618,0.47593,0.89634,0.00365001,0.00365001,0.00365001
29,1859.83,0.59442,0.67898,0.45887,0.91922,0.94979,0.91223,0.95392,0.75916,0.93389,0.92397,0.95151,0.77675,0.61871,0.72341,0.46999,0.91547,0.00360001,0.00360001,0.00360001
30,1885.77,0.58153,0.66803,0.46113,0.91622,0.87339,0.92378,0.94676,0.77021,0.87802,0.93358,0.95166,0.77381,0.5948,0.66907,0.52037,0.89282,0.00355001,0.00355001,0.00355001
31,1912.65,0.58207,0.66513,0.45418,0.912,0.95364,0.91034,0.95916,0.76832,0.95308,0.91599,0.96421,0.77593,0.60416,0.69312,0.45943,0.89996,0.00350001,0.00350001,0.00350001
32,1937.5,0.58309,0.67106,0.45138,0.92155,0.90243,0.91333,0.94978,0.7612,0.89428,0.9078,0.94097,0.76048,0.62444,0.72479,0.54916,0.91059,0.00345002,0.00345002,0.00345002
33,1962.2,0.57472,0.67167,0.45588,0.91038,0.96712,0.91979,0.95786,0.76166,0.96712,0.91979,0.95549,0.74146,0.61291,0.7267,0.47074,0.90787,0.00340002,0.00340002,0.00340002
34,1983.79,0.57253,0.65291,0.44686,0.91504,0.95568,0.92228,0.95926,0.76608,0.95568,0.92228,0.95279,0.76787,0.60736,0.7143,0.50104,0.91319,0.00335002,0.00335002,0.00335002
35,2006.98,0.56155,0.63944,0.44062,0.90636,0.93381,0.94381,0.97472,0.77341,0.93381,0.94381,0.97322,0.77456,0.57104,0.70609,0.44142,0.8892,0.00330002,0.00330002,0.00330002
36,2031.27,0.56748,0.63732,0.44754,0.90969,0.9284,0.9361,0.94922,0.76766,0.92904,0.93958,0.95019,0.77038,0.59823,0.70406,0.52836,0.89468,0.00325002,0.00325002,0.00325002
37,2052.87,0.56448,0.62766,0.43284,0.90405,0.9326,0.91762,0.94871,0.79329,0.9405,0.92477,0.9507,0.77307,0.5228,0.73498,0.45788,0.87425,0.00320002,0.00320002,0.00320002
38,2073.11,0.54749,0.62344,0.42408,0.90286,0.94052,0.93949,0.96561,0.78373,0.94052,0.93949,0.96542,0.78719,0.56242,0.69376,0.44237,0.87472,0.00315002,0.00315002,0.00315002
