epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,768.89,0.80103,0.97139,0.90952,1.01198,0.78847,0.72449,0.80047,0.53246,0.78412,0.72263,0.79768,0.56896,1.03398,1.1419,1.56806,1.21131,0.0684037,0.00166296,0.00166296
2,1521.36,0.80312,0.92874,0.74137,1.01221,0.88021,0.79395,0.86066,0.62697,0.87884,0.79552,0.85599,0.65178,0.82732,1.09808,0.8386,1.03998,0.0367037,0.00329633,0.00329633
3,2262.46,0.76098,0.86735,0.67332,0.99301,0.84542,0.85658,0.89891,0.68693,0.84372,0.85421,0.89194,0.69154,0.75427,0.95804,0.6572,1.00044,0.00497045,0.00489637,0.00489637
4,3013.43,0.72203,0.83765,0.62009,0.97436,0.91411,0.8719,0.92576,0.68268,0.91306,0.86135,0.9166,0.68665,0.76159,0.92692,0.82375,0.99414,0.00485,0.00485,0.00485
5,3761.34,0.68209,0.80112,0.57928,0.95696,0.91285,0.87497,0.94597,0.7417,0.91718,0.87151,0.93811,0.75064,0.6522,0.87959,0.5659,0.92718,0.0048,0.0048,0.0048
6,4507.59,0.66177,0.77211,0.55342,0.94862,0.92114,0.88026,0.93627,0.71588,0.91813,0.87865,0.93022,0.72359,0.71173,0.79919,0.57597,0.96832,0.00475,0.00475,0.00475
7,5267.1,0.63036,0.73691,0.52488,0.93535,0.9212,0.92142,0.95817,0.75196,0.92359,0.91611,0.95129,0.74206,0.64846,0.79311,0.55865,0.91593,0.0047,0.0047,0.0047
8,6012.65,0.63068,0.7401,0.51525,0.93105,0.89837,0.90837,0.92453,0.74307,0.89452,0.90069,0.91707,0.73674,0.63959,0.83382,0.51914,0.9406,0.00465,0.00465,0.00465
9,6757.57,0.60971,0.71443,0.50192,0.92748,0.93575,0.91371,0.95204,0.767,0.93585,0.91906,0.94623,0.75818,0.60367,0.72707,0.45479,0.90676,0.0046,0.0046,0.0046
10,7510.39,0.61493,0.7167,0.50297,0.92613,0.93393,0.91644,0.95633,0.78355,0.93074,0.91384,0.94969,0.77305,0.57429,0.7351,0.45466,0.89433,0.00455,0.00455,0.00455
11,8259.06,0.59932,0.69213,0.48379,0.92083,0.94275,0.92831,0.95288,0.76445,0.94092,0.93463,0.95149,0.76513,0.60639,0.73915,0.49927,0.89649,0.00450001,0.00450001,0.00450001
12,9005.56,0.59546,0.68599,0.47617,0.9187,0.95598,0.929,0.96118,0.76558,0.95662,0.92794,0.95883,0.76614,0.59893,0.75537,0.42128,0.89106,0.00445001,0.00445001,0.00445001
13,9738.62,0.58313,0.68175,0.4667,0.91768,0.93068,0.92406,0.95979,0.75869,0.93135,0.91579,0.95297,0.76198,0.60478,0.69738,0.4911,0.90588,0.00440001,0.00440001,0.00440001
14,10481.9,0.57837,0.6801,0.46146,0.91462,0.9584,0.93289,0.95773,0.78391,0.9536,0.92798,0.95247,0.76851,0.57002,0.746,0.41742,0.88469,0.00435001,0.00435001,0.00435001
15,11222.1,0.576,0.67016,0.45569,0.91487,0.96271,0.93309,0.9656,0.76884,0.96076,0.93128,0.96002,0.76254,0.58988,0.76934,0.41335,0.88747,0.00430001,0.00430001,0.00430001
16,11972.9,0.56802,0.67025,0.44974,0.90958,0.96093,0.93102,0.95975,0.78295,0.959,0.92921,0.95639,0.78267,0.56493,0.71214,0.42742,0.87655,0.00425001,0.00425001,0.00425001
17,12708.9,0.57221,0.66388,0.45243,0.91087,0.96068,0.92679,0.9586,0.78795,0.96166,0.9277,0.95702,0.78362,0.5655,0.71218,0.4247,0.87758,0.00420001,0.00420001,0.00420001
18,13448.7,0.56791,0.66171,0.4481,0.90985,0.96462,0.92692,0.96488,0.793,0.95438,0.91877,0.95586,0.78082,0.55624,0.71632,0.40828,0.87625,0.00415001,0.00415001,0.00415001
19,14193.8,0.56619,0.66343,0.45063,0.90953,0.96126,0.93969,0.96724,0.79545,0.95354,0.93235,0.95707,0.78028,0.5514,0.72888,0.39426,0.87168,0.00410001,0.00410001,0.00410001
20,14923.8,0.56259,0.6525,0.43969,0.90815,0.96232,0.93014,0.96054,0.78083,0.9646,0.92923,0.9546,0.77055,0.57623,0.69247,0.45432,0.88282,0.00405001,0.00405001,0.00405001
